id_a,id_b,timestamp,x0,x1,x2,std_x0,std_x1,std_x2,trace_P,cross_cov_norm,trace_P_before,eig_min_P,sym_err_P,phi_trace,correction_norm,residual_norm,residual
1,3,1787690734.291567,-0.390614,-0.459327,0.153051,0.245088,0.253627,0.211300,0.169042,0.288832,0.169042,0.031919,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690734.791217,-0.390614,-0.459327,0.153051,0.245268,0.253631,0.211512,0.169222,0.288832,0.169222,0.031987,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690735.391269,-0.390614,-0.459327,0.153051,0.245506,0.253636,0.211796,0.169462,0.288832,0.169462,0.032076,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690735.591333,-0.390614,-0.459327,0.153051,0.245586,0.253638,0.211890,0.169542,0.288832,0.169542,0.032106,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690735.891042,-0.390614,-0.459327,0.153051,0.245745,0.253642,0.212079,0.169702,0.288832,0.169702,0.032165,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,3,1787690735.990240,-0.390614,-0.459327,0.153051,0.245745,0.253642,0.212079,0.169702,0.288832,0.169702,0.032165,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690736.091182,-0.390614,-0.459327,0.153051,0.245825,0.253644,0.212173,0.169782,0.288832,0.169782,0.032195,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,3,1787690736.191222,-0.390614,-0.459327,0.153051,0.245825,0.253644,0.212173,0.169782,0.288832,0.169782,0.032195,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690736.291382,-0.390614,-0.459327,0.153051,0.245904,0.253646,0.212267,0.169862,0.288832,0.169862,0.032225,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,3,1787690736.389362,-0.390614,-0.459327,0.153051,0.245904,0.253646,0.212267,0.169862,0.288832,0.169862,0.032225,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
